Thales|Everything is water in one form or another.
Gottfried Wilhelm Leibniz|Every non-initial state of a monad (or ‘entelechy’) has as a real cause some previous state of that very monad, but not of other monads.
Gottfried Wilhelm Leibniz|Since monads cannot interact with each other, minds and their bodies do not causally interact.
Gottfried Wilhelm Leibniz|God does not act in the course of nature; it is against the laws of physics and it robs created things of all power and action.
Gottfried Wilhelm Leibniz|God actualized all monads at creation to stay in a pre-established harmony with each other; minds and bodies correspond without interaction.
Gottfried Wilhelm Leibniz|Since God discovered minds as parts of the best of all possible worlds and actualized them without changing their nature, their freedom is conserved.
Gottfried Wilhelm Leibniz|Since each monad is accommodated by God to every other monad, each is a mirror, a representation of the whole universe, its past and future.
Gottfried Wilhelm Leibniz|If two objects have exactly the same properties, then they are the same thing; indiscernibles are identical.
Gottfried Wilhelm Leibniz|Nature makes no leaps; nothing takes place suddenly.
George Berkeley|All we can ever apprehend are the contents of our own consciousness.
George Berkeley|We know that we exist because we have direct awareness of being a subject of experiences.
George Berkeley|An idea can be like nothing but an idea; our sensory images cannot be “copies” of external objects.
George Berkeley|We can never be sure that our experiences are attached to objects external to us.
George Berkeley|A consistent empiricism leads us to the conclusion that what exists are only minds and their contents.
George Berkeley|Total reality exists in God’s mind; things exist either in our minds or in God’s mind.
George Berkeley|Visible figures signify tangible figures but the connection between them is arbitrary (like words and objects), instituted by God’s language of nature.
