Thales|Everything is water in one form or another.
John Dewey|Artists provide us with ‘experiences’ by producing coherent and structured objects/events that bring together various aspects of disjoint perceptions.
Pierre Duhem|A theory of physics is not an explanation; it is a system of mathematical propositions to represent as simply as possible a group of experimental laws.
Pierre Duhem|The highest test of a theory is to ask it to indicate in advance things which the future alone will reveal.
Pierre Duhem|When a theory is successful, it means that the relations established by our reason among abstract notions only correspond to the relations among things.
Pierre Duhem|Scientific hypotheses only work given further auxiliary hypotheses, some of which are about the experimental equipment.
Pierre Duhem|When a prediction fails, the scientist may reconsider the theoretical postulates or check the equipment.
Pierre Duhem|Observations and experiments cannot be by themselves decisive in refuting scientific hypotheses.
Pierre Duhem|Scientists choose among competing theories by eliminative reasoning; this can only be reliable if there is the true one among the alternatives.
Pierre Duhem|What we can ever have is an imperfect and provisional theory with innumerable groupings, hesitations, and repentances.
Pierre Duhem|It is hard for scientists from different schools or time periods to understand each other and have meaningful discussions; they speak different languages.
Pierre Duhem|Metaphysical/religious doctrines touch on objective reality, whereas physical theories use mathematical signs stripped of all objective existence.
Pierre Duhem|Since metaphysical/religious doctrines and physical theories do not have any common term, they can neither contradict nor agree with each other.
George Santayana|Knowledge is composed of instances of awareness that in themselves do not contain the prerequisites for knowledge (e.g. concepts, universals, essences).
George Santayana|Philosophy must begin in the middle of things, in action itself, where there is an instinctive and arational belief in the natural world: ‘animal faith’.
George Santayana|Ancient conditions of life on Earth determined which ‘psyches’ (natural structures of physical bodies) should arise and prosper.
George Santayana|There are certain inevitable beliefs; they are inescapable given nature and our physical history (e.g. belief in external objects, inductive reasoning).
George Santayana|The four realms of being are ‘essence’, ‘matter’, ‘truth’, and ‘spirit’; these are the qualities of reality and they are irreducibly different.
George Santayana|An ‘essence’ is a universal, an object of thought, not a material force; ‘matter’ remains as the origin of existence and the arena of action.
George Santayana|All conscious beings must ascertain belief about ‘truth’ based on the success of actions that sustain life and permit periods of delight and joy.
George Santayana|The nature of truth is correspondence with what is but the test of truth is pragmatic because of the limits of our nature.
George Santayana|‘Spirit’, or consciousness, is momentary, fleeting, and depends on our physical bodies; it is a result and not a cause, a comment and not an agent.
George Santayana|Ethical statements cannot be true or false like scientific statements; they are only expressions of preferences we feel.
George Santayana|There is no one good for all, or even for an individual; it depends on our nature and the circumstances, and in different times and environments.
